Experiment;Name;Year;Sowing;Harvest;Fertilisation_min;Crop;Lat;Long;Elevation
EX111;HUB_Thyrow_D1;2011;25.08.2010;13.07.2011;fert15;WC;52.252;13.235;47
EX112;HUB_Thyrow_D1;2011;07.10.2010;26.07.2011;fert13;WR;52.252;13.235;47
EX113;HUB_Thyrow_D1;2011;07.10.2010;19.07.2011;fert13;WW;52.252;13.235;47
EX114;HUB_Thyrow_D1;2012;16.04.2012;06.09.2012;no_fert;PO;52.252;13.235;47
EX115;HUB_Thyrow_D1;2012;29.09.2011;27.07.2012;no_fert;WR;52.252;13.235;47
EX116;HUB_Thyrow_D1;2012;29.09.2011;24.07.2012;no_fert;WW;52.252;13.235;47
EX117;HUB_Thyrow_D1;2012;16.04.2012;06.09.2012;fert22;PO;52.252;13.235;47
EX118;HUB_Thyrow_D1;2012;08.08.2011;10.07.2012;fert20;WC;52.252;13.235;47
EX119;HUB_Thyrow_D1;2012;29.09.2011;27.07.2012;fert18;WR;52.252;13.235;47
EX120;HUB_Thyrow_D1;2012;29.09.2011;24.07.2012;fert18;WW;52.252;13.235;47
EX121;HUB_Thyrow_D1;2012;16.04.2012;06.09.2012;fert21;PO;52.252;13.235;47
EX122;HUB_Thyrow_D1;2012;08.08.2011;10.07.2012;fert19;WC;52.252;13.235;47
EX123;HUB_Thyrow_D1;2012;29.09.2011;27.07.2012;fert17;WR;52.252;13.235;47
EX124;HUB_Thyrow_D1;2012;29.09.2011;24.07.2012;fert17;WW;52.252;13.235;47
EX125;HUB_Thyrow_D1;2012;16.04.2012;06.09.2012;fert21;PO;52.252;13.235;47
EX126;HUB_Thyrow_D1;2012;08.08.2011;10.07.2012;fert19;WC;52.252;13.235;47
EX127;HUB_Thyrow_D1;2012;29.09.2011;27.07.2012;fert17;WR;52.252;13.235;47
EX128;HUB_Thyrow_D1;2012;29.09.2011;24.07.2012;fert17;WW;52.252;13.235;47
EX129;HUB_Thyrow_D1;2012;16.04.2012;06.09.2012;no_fert;PO;52.252;13.235;47
EX130;HUB_Thyrow_D1;2012;29.09.2011;27.07.2012;no_fert;WR;52.252;13.235;47
EX131;HUB_Thyrow_D1;2012;29.09.2011;24.07.2012;no_fert;WW;52.252;13.235;47
EX132;HUB_Thyrow_D1;2012;16.04.2012;06.09.2012;fert22;PO;52.252;13.235;47
EX133;HUB_Thyrow_D1;2012;08.08.2011;10.07.2012;fert20;WC;52.252;13.235;47
EX134;HUB_Thyrow_D1;2012;29.09.2011;27.07.2012;fert18;WR;52.252;13.235;47
EX135;HUB_Thyrow_D1;2012;29.09.2011;24.07.2012;fert18;WW;52.252;13.235;47
EX136;HUB_Thyrow_D1;2012;16.04.2012;06.09.2012;fert21;PO;52.252;13.235;47
EX137;HUB_Thyrow_D1;2012;08.08.2011;10.07.2012;fert19;WC;52.252;13.235;47
EX138;HUB_Thyrow_D1;2012;29.09.2011;27.07.2012;fert17;WR;52.252;13.235;47
EX139;HUB_Thyrow_D1;2012;29.09.2011;24.07.2012;fert17;WW;52.252;13.235;47
EX140;HUB_Thyrow_D1;2012;16.04.2012;06.09.2012;fert21;PO;52.252;13.235;47
EX141;HUB_Thyrow_D1;2012;08.08.2011;10.07.2012;fert19;WC;52.252;13.235;47
EX142;HUB_Thyrow_D1;2012;29.09.2011;27.07.2012;fert17;WR;52.252;13.235;47
EX143;HUB_Thyrow_D1;2012;29.09.2011;24.07.2012;fert17;WW;52.252;13.235;47
EX144;HUB_Thyrow_D1;2013;23.04.2013;10.09.2013;no_fert;PO;52.252;13.235;47
EX145;HUB_Thyrow_D1;2013;20.08.2012;22.07.2013;no_fert;WC;52.252;13.235;47
EX146;HUB_Thyrow_D1;2013;04.10.2012;02.08.2013;no_fert;WR;52.252;13.235;47
EX147;HUB_Thyrow_D1;2013;04.10.2012;26.07.2013;no_fert;WW;52.252;13.235;47
EX148;HUB_Thyrow_D1;2013;23.04.2013;10.09.2013;fert26;PO;52.252;13.235;47
