Experiment;me;Year;Crop;Yield;Height;Heading;Maturity
EX517;Hradec_d_Svitavou;2013;WW;8.8;;154;217
EX518;Hradec_d_Svitavou;2013;WW;7.86;99.62;160;218
EX519;Hradec_d_Svitavou;2013;WW;9.36;;161;218
EX520;Hradec_d_Svitavou;2014;WW;9.39;111.72;143;206
EX521;Hradec_d_Svitavou;2014;WW;11.81;;144;207
EX522;Hradec_d_Svitavou;2014;WW;9.3;108.57;143;206
EX523;Hradec_d_Svitavou;2014;WW;11.99;;144;207
EX524;Hradec_d_Svitavou;2014;WW;9.3;105.44;147;208
EX525;Hradec_d_Svitavou;2014;WW;11.73;;147;209
EX526;Hradec_d_Svitavou;2014;WW;11.88;;147;209
EX527;Hradec_d_Svitavou;2015;WW;9.4;100.12;149;204
EX528;Hradec_d_Svitavou;2015;WW;10.85;;150;205
EX529;Hradec_d_Svitavou;2015;WW;8.68;109.86;147;203
EX530;Hradec_d_Svitavou;2015;WW;10.62;;148;204
EX531;Hradec_d_Svitavou;2016;WW;8.46;109.57;149;211
EX532;Hradec_d_Svitavou;2016;WW;9.17;105.7;152;213
EX533;Hradec_d_Svitavou;2016;WW;10.9;99.08;149;212
EX534;Hradec_d_Svitavou;2016;WW;9.25;104.88;152;213
EX535;Hradec_d_Svitavou;2016;WW;11.18;97.93;152;214
EX536;Hradec_d_Svitavou;2016;WW;9.51;99.24;158;
EX537;Hradec_d_Svitavou;2016;WW;10.55;94.05;162;217
EX538;Hradec_d_Svitavou;2016;WW;10.31;93.2;162;217
EX539;Hradec_d_Svitavou;2017;WW;9.58;105.16;153;211
EX540;Hradec_d_Svitavou;2017;WW;11.7;93.84;154;212
EX541;Hradec_d_Svitavou;2017;WW;10.28;102.17;156;212
EX542;Hradec_d_Svitavou;2017;WW;10.17;102.92;157;213
EX543;Hradec_d_Svitavou;2017;WW;11.72;91.62;158;214
EX544;Hradec_d_Svitavou;2017;WW;11.97;90.35;156;213
EX545;Hradec_d_Svitavou;2018;WW;6.61;82.35;136;194
EX546;Hradec_d_Svitavou;2018;WW;8.03;73.16;137;195
EX547;Hradec_d_Svitavou;2018;WW;8.7;85.53;141;198
EX548;Hradec_d_Svitavou;2018;WW;10.03;76.51;142;198
EX549;Hradec_d_Svitavou;2018;WW;7.45;78.03;142;197
EX550;Hradec_d_Svitavou;2018;WW;8.43;71.44;143;198
EX551;Hradec_d_Svitavou;2019;WW;9.96;99.73;151;205
EX552;Hradec_d_Svitavou;2019;WW;10.78;97.45;152;206
EX553;Hradec_d_Svitavou;2019;WW;10.97;95.85;152;205
EX554;Hradec_d_Svitavou;2019;WW;8.92;99.99;150;204
EX555;Hradec_d_Svitavou;2019;WW;9.8;99.67;147;203
EX556;Hradec_d_Svitavou;2020;WW;8.6;104.69;145;213
EX557;Hradec_d_Svitavou;2020;WW;9.36;100.02;145;214
EX558;Hradec_d_Svitavou;2020;WW;8.49;96.63;150;215
EX559;Hradec_d_Svitavou;2020;WW;8.9;100.66;151;215
EX560;Hradec_d_Svitavou;2020;WW;9.78;95.15;151;215
EX561;Hradec_d_Svitavou;2020;WW;9.91;97.7;151;215
EX562;Hradec_d_Svitavou;2021;WW;11.15;90.24;158;215
EX563;Hradec_d_Svitavou;2021;WW;11.9;87.87;162;218
EX564;Hradec_d_Svitavou;2021;WW;11.24;85.03;162;218
EX565;Hradec_d_Svitavou;2022;WW;10.13;97.45;146;203
EX566;Hradec_d_Svitavou;2022;WW;11.59;91.27;147;203
EX567;Hradec_d_Svitavou;2022;WW;9.94;93.81;150;205
EX568;Hradec_d_Svitavou;2022;WW;12.51;89.51;151;206
EX569;Hradec_d_Svitavou;2022;WW;12.66;90.35;151;206
EX570;Hradec_d_Svitavou;2023;WW;11.27;100.38;148;204
EX571;Hradec_d_Svitavou;2023;WW;10.91;107.37;153;206
EX572;Hradec_d_Svitavou;2023;WW;11.7;99.14;153;207
EX573;Hradec_d_Svitavou;2023;WW;10.5;109.2;153;206
EX574;Hradec_d_Svitavou;2023;WW;11.46;102.72;153;207
EX575;Hradec_d_Svitavou;2023;WW;9.24;111;148;203
EX576;Hradec_d_Svitavou;2024;WW;7.81;89.52;132;195
EX577;Hradec_d_Svitavou;2024;WW;9.33;85.35;133;196
EX578;Hradec_d_Svitavou;2024;WW;8.14;101.23;140;199
EX579;Hradec_d_Svitavou;2024;WW;9.97;94.74;140;199
EX580;Hradec_d_Svitavou;2024;WW;8.41;100.93;140;199
EX581;Hradec_d_Svitavou;2024;WW;10.2;97.1;140;199
EX582;Hrubcice;2006;WW;8.37;95.19;156;
EX583;Hrubcice;2006;WW;8.54;91.49;156;
EX584;Hrubcice;2007;WW;;95.43;147;196
EX585;Hrubcice;2007;WW;;92.89;148;196
EX586;Hrubcice;2008;WW;10.5;91.15;144;200
EX587;Hrubcice;2008;WW;11.48;88.3;144;200
EX588;Hrubcice;2008;WW;11.18;92;150;201
EX589;Hrubcice;2008;WW;10.65;92;150;201
EX590;Hrubcice;2009;WW;9.24;83.59;135;201
EX591;Hrubcice;2009;WW;11.06;74.67;136;201
EX592;Hrubcice;2009;WW;8.51;86.36;139;203
EX593;Hrubcice;2009;WW;10.62;79.64;140;203
EX594;Hrubcice;2010;WW;7.21;94.92;148;202
EX595;Hrubcice;2010;WW;9.26;87.44;148;202
EX596;Hrubcice;2010;WW;;95.75;155;204
EX597;Hrubcice;2010;WW;;88.68;155;206
EX598;Hrubcice;2011;WW;10.45;95.07;148;207
EX599;Hrubcice;2011;WW;12.79;;150;209
EX600;Hrubcice;2011;WW;12.69;;150;210
EX601;Hrubcice;2011;WW;11.29;97.65;143;200
EX602;Hrubcice;2011;WW;13.25;;142;200
EX603;Hrubcice;2011;WW;13.28;;143;200
EX604;Hrubcice;2013;WW;7.63;98.08;159;211
EX605;Hrubcice;2013;WW;10.59;;159;210
EX606;Hrubcice;2013;WW;7.58;99.41;158;212
EX607;Hrubcice;2013;WW;7.47;96.26;150;204
EX608;Hrubcice;2013;WW;10.76;;150;208
EX609;Hrubcice;2013;WW;7.62;96.83;150;204
EX610;Hrubcice;2014;WW;9.42;111.52;138;196
EX611;Hrubcice;2014;WW;13;;139;196
EX612;Hrubcice;2014;WW;13.17;;144;200
EX613;Hrubcice;2014;WW;10.14;104.35;143;200
EX614;Hrubcice;2014;WW;12.18;;143;200
EX615;Hrubcice;2014;WW;11.07;104.75;143;199
EX616;Hrubcice;2015;WW;9.65;110.29;144;198
EX617;Hrubcice;2015;WW;12.8;;144;198
EX618;Hrubcice;2015;WW;11.2;105;147;201
EX619;Hrubcice;2015;WW;13.98;;147;201
EX620;Hrubcice;2016;WW;8.86;96.7;151;203
EX621;Hrubcice;2016;WW;10.82;91.85;152;202
EX622;Hrubcice;2016;WW;9.08;98.74;150;201
EX623;Hrubcice;2016;WW;11.17;94.14;150;201
EX624;Hrubcice;2016;WW;11.27;86.83;154;203
EX625;Hrubcice;2016;WW;10.44;84.31;160;204
EX626;Hrubcice;2016;WW;10.83;84.83;159;207
EX627;Hrubcice;2017;WW;7.32;87.16;145;196
EX628;Hrubcice;2017;WW;7.09;86.48;147;197
EX629;Hrubcice;2017;WW;6.96;82.23;148;198
EX630;Hrubcice;2018;WW;7.2;91.77;139;186
EX631;Hrubcice;2018;WW;9.1;85.37;140;186
EX632;Hrubcice;2019;WW;;98.88;138;190
EX633;Hrubcice;2019;WW;;94.73;139;190
EX634;Hrubcice;2019;WW;;95.33;144;194
EX635;Hrubcice;2019;WW;;94.3;144;194
EX636;Hrubcice;2019;WW;;98.28;144;195
EX637;Hrubcice;2019;WW;;;144;195
EX638;Hrubcice;2020;WW;10.63;98.86;145;204
EX639;Hrubcice;2020;WW;11.44;96.56;146;204
EX640;Hrubcice;2020;WW;10.4;97.9;148;207
EX641;Hrubcice;2020;WW;11.12;97.01;148;208
EX642;Hrubcice;2021;WW;11.79;75.22;155;203
EX643;Hrubcice;2021;WW;11.36;78.38;160;205
EX644;Hrubcice;2021;WW;10.3;78.05;160;207
EX645;Hrubcice;2022;WW;11.81;92.99;143;200
EX646;Hrubcice;2022;WW;12.28;89.68;144;200
EX647;Hrubcice;2022;WW;12.27;92.22;145;199
EX648;Hrubcice;2022;WW;12.36;88.92;146;199
EX649;Hrubcice;2024;WW;7.33;94.57;130;190
EX650;Hrubcice;2024;WW;6.99;100.4;139;192
EX651;Hrubcice;2024;WW;11.09;95.11;137;192
EX652;Ivanovice;2009;WW;9.17;80.07;141;205
EX653;Ivanovice;2010;WW;6.65;90.82;157;220
EX654;Jaromerice_d_Rokytnou;2006;WW;7.91;98.82;159;210
EX655;Jaromerice_d_Rokytnou;2006;WW;9.59;91.57;160;210
EX656;Jaromerice_d_Rokytnou;2006;WW;8.07;96.26;159;210
EX657;Jaromerice_d_Rokytnou;2006;WW;9.36;90.41;160;210
EX658;Jaromerice_d_Rokytnou;2006;WW;7.61;90.94;154;207
EX659;Jaromerice_d_Rokytnou;2006;WW;10.09;89.72;154;207
EX660;Jaromerice_d_Rokytnou;2007;WW;9;95.22;137;195
EX661;Jaromerice_d_Rokytnou;2007;WW;10.79;89.87;139;196
EX662;Jaromerice_d_Rokytnou;2007;WW;10.11;91.12;143;196
EX663;Jaromerice_d_Rokytnou;2007;WW;8.36;94.58;142;195
EX664;Jaromerice_d_Rokytnou;2007;WW;9.92;87.8;142;198
EX665;Jaromerice_d_Rokytnou;2007;WW;8.84;97.29;141;198
EX666;Jaromerice_d_Rokytnou;2008;WW;7.69;98.27;147;201
EX667;Jaromerice_d_Rokytnou;2008;WW;8.11;91.88;147;201
EX668;Jaromerice_d_Rokytnou;2008;WW;6.36;96.47;152;209
EX669;Jaromerice_d_Rokytnou;2008;WW;8.44;98.67;151;209
EX670;Jaromerice_d_Rokytnou;2008;WW;8.22;90.36;152;209
EX671;Jaromerice_d_Rokytnou;2008;WW;9.22;93.52;152;208
EX672;Jaromerice_d_Rokytnou;2009;WW;10.85;85.74;144;211
EX673;Jaromerice_d_Rokytnou;2009;WW;8.74;90.19;138;203
EX674;Jaromerice_d_Rokytnou;2009;WW;10.37;81.74;139;206
EX675;Jaromerice_d_Rokytnou;2009;WW;8.92;91.56;144;210
EX676;Jaromerice_d_Rokytnou;2009;WW;10.82;85.72;145;210
EX677;Jaromerice_d_Rokytnou;2010;WW;8.7;99.68;157;215
EX678;Jaromerice_d_Rokytnou;2010;WW;10.95;91.05;158;215
EX679;Jaromerice_d_Rokytnou;2010;WW;8.84;96.33;156;214
EX680;Jaromerice_d_Rokytnou;2010;WW;10.66;90.69;157;215
EX681;Jaromerice_d_Rokytnou;2010;WW;9.17;96.9;152;208
EX682;Jaromerice_d_Rokytnou;2010;WW;11.08;88.33;152;209
EX683;Jaromerice_d_Rokytnou;2011;WW;9.59;83.05;147;210
EX684;Jaromerice_d_Rokytnou;2011;WW;10.6;;147;209
EX685;Jaromerice_d_Rokytnou;2011;WW;9.88;83.24;149;211
EX686;Jaromerice_d_Rokytnou;2011;WW;10.83;;148;213
EX687;Jaromerice_d_Rokytnou;2012;WW;8.73;69.23;144;199
EX688;Jaromerice_d_Rokytnou;2012;WW;7.66;;145;200
EX689;Jaromerice_d_Rokytnou;2012;WW;7.36;72.63;147;205
EX690;Jaromerice_d_Rokytnou;2012;WW;10.54;;147;206
EX691;Jaromerice_d_Rokytnou;2013;WW;8.88;101.48;157;
EX692;Jaromerice_d_Rokytnou;2013;WW;10.85;;157;216
EX693;Jaromerice_d_Rokytnou;2013;WW;8.71;100.52;157;215
EX694;Jaromerice_d_Rokytnou;2013;WW;10.38;;157;216
EX695;Jaromerice_d_Rokytnou;2013;WW;8.47;101;151;209
EX696;Jaromerice_d_Rokytnou;2013;WW;10.72;;151;210
EX697;Jaromerice_d_Rokytnou;2014;WW;11.07;;144;208
EX698;Jaromerice_d_Rokytnou;2014;WW;9.49;107.32;140;201
EX699;Jaromerice_d_Rokytnou;2014;WW;11.16;;141;203
EX700;Jaromerice_d_Rokytnou;2014;WW;9.8;101.68;144;207
EX701;Jaromerice_d_Rokytnou;2014;WW;10.65;102.04;144;205
EX702;Jaromerice_d_Rokytnou;2014;WW;12.22;;145;206
EX703;Jaromerice_d_Rokytnou;2015;WW;9.38;94.39;150;202
EX704;Jaromerice_d_Rokytnou;2015;WW;9.96;;150;202
EX705;Jaromerice_d_Rokytnou;2016;WW;9.72;104.24;148;204
EX706;Jaromerice_d_Rokytnou;2016;WW;9.74;95.22;148;204
EX707;Jaromerice_d_Rokytnou;2016;WW;9.44;92.36;151;206
EX708;Jaromerice_d_Rokytnou;2016;WW;9.76;88.82;151;206
EX709;Jaromerice_d_Rokytnou;2016;WW;9.14;92.49;151;207
EX710;Jaromerice_d_Rokytnou;2016;WW;10.88;95.51;151;207
EX711;Jaromerice_d_Rokytnou;2016;WW;9.97;88.07;158;211
EX712;Jaromerice_d_Rokytnou;2016;WW;11.28;91.59;160;212
EX713;Jaromerice_d_Rokytnou;2016;WW;9.74;94.52;155;208
EX714;Jaromerice_d_Rokytnou;2017;WW;5.37;69.08;150;199
EX715;Jaromerice_d_Rokytnou;2017;WW;5.85;68.95;150;199
EX716;Jaromerice_d_Rokytnou;2017;WW;5.1;66.1;150;200
EX717;Jaromerice_d_Rokytnou;2017;WW;5.36;72.97;148;198
EX718;Jaromerice_d_Rokytnou;2017;WW;5.29;71.31;148;198
EX719;Jaromerice_d_Rokytnou;2017;WW;5;69.63;150;200
EX720;Jaromerice_d_Rokytnou;2017;WW;5.48;72.13;150;200
EX721;Jaromerice_d_Rokytnou;2018;WW;8.99;89.44;140;200
EX722;Jaromerice_d_Rokytnou;2018;WW;9.8;83.89;140;200
EX723;Jaromerice_d_Rokytnou;2018;WW;9.38;92.46;139;198
EX724;Jaromerice_d_Rokytnou;2018;WW;10.02;86.96;139;199
EX725;Jaromerice_d_Rokytnou;2019;WW;9.13;95.2;152;205
EX726;Jaromerice_d_Rokytnou;2019;WW;8.9;91;152;206
EX727;Jaromerice_d_Rokytnou;2019;WW;8.65;99.37;151;205
EX728;Jaromerice_d_Rokytnou;2019;WW;8.75;97.31;151;205
EX729;Jaromerice_d_Rokytnou;2020;WW;10.26;99.9;151;217
EX730;Jaromerice_d_Rokytnou;2020;WW;11.93;95.25;151;218
EX731;Jaromerice_d_Rokytnou;2020;WW;10.99;97.42;152;218
EX732;Jaromerice_d_Rokytnou;2020;WW;10.86;93.71;145;212
EX733;Jaromerice_d_Rokytnou;2021;WW;10.68;84.58;159;211
EX734;Jaromerice_d_Rokytnou;2021;WW;12.49;90.88;160;213
EX735;Jaromerice_d_Rokytnou;2021;WW;10.75;92.27;155;208
EX736;Jaromerice_d_Rokytnou;2022;WW;10.12;79.49;144;201
EX737;Jaromerice_d_Rokytnou;2022;WW;10.76;77.98;145;201
EX738;Jaromerice_d_Rokytnou;2022;WW;9.99;81.33;143;201
EX739;Jaromerice_d_Rokytnou;2022;WW;10.22;78.2;144;202
EX740;Jaromerice_d_Rokytnou;2022;WW;11.81;86.91;141;199
EX741;Jaromerice_d_Rokytnou;2022;WW;12.53;82.73;142;199
EX742;Jaromerice_d_Rokytnou;2023;WW;9.51;100.22;151;209
EX743;Jaromerice_d_Rokytnou;2023;WW;9.58;97.12;151;209
EX744;Jaromerice_d_Rokytnou;2023;WW;8.78;101.55;147;207
EX745;Jaromerice_d_Rokytnou;2023;WW;10.46;103.64;147;208
EX746;Jaromerice_d_Rokytnou;2023;WW;9.11;107.28;151;210
EX747;Jaromerice_d_Rokytnou;2023;WW;10.22;105.39;151;211
EX748;Jaromerice_d_Rokytnou;2024;WW;7.93;90.91;138;196
EX749;Jaromerice_d_Rokytnou;2024;WW;9.42;88.91;138;195
EX750;Jaromerice_d_Rokytnou;2024;WW;8.03;99.13;145;198
EX751;Jaromerice_d_Rokytnou;2024;WW;9.26;97.47;145;199
EX752;Jaromerice_d_Rokytnou;2024;WW;8.31;98.58;144;199
EX753;Jaromerice_d_Rokytnou;2024;WW;9.44;97.15;145;199
EX754;Krasne_Udoli;2009;WW;7.54;100.43;162;222
EX755;Krasne_Udoli;2009;WW;8.97;101.37;163;230
EX756;Krasne_Udoli;2010;WW;6.71;94.71;166;221
EX757;Krasne_Udoli;2010;WW;8.09;95.82;166;229
EX758;Kromeriz;2009;WW;9.12;80.8;139;205
EX759;Kromeriz;2010;WW;7.6;83.86;153;213
EX760;Kujavy;2009;WW;9.41;102.3;143;213
EX761;Kujavy;2009;WW;7.37;106.57;143;208
EX762;Kujavy;2010;WW;6.32;93.64;155;211
EX763;Kujavy;2010;WW;8.11;81.71;156;212
EX764;Kujavy;2011;WW;8.89;96.48;148;206
EX765;Kujavy;2011;WW;10.69;;148;208
EX766;Kujavy;2013;WW;10;;153;209
EX767;Kujavy;2013;WW;7.42;100.85;151;207
EX768;Kujavy;2014;WW;8.78;93.78;139;197
EX769;Kujavy;2014;WW;10.9;;135;197
EX770;Kujavy;2015;WW;;100.58;143;200
EX771;Kujavy;2015;WW;;;144;201
EX772;Kujavy;2016;WW;7.31;96.88;139;196
EX773;Kujavy;2016;WW;8;90.12;140;197
EX774;Kujavy;2017;WW;9.65;102.7;150;206
EX775;Kujavy;2017;WW;10.85;99.91;150;207
EX776;Kujavy;2018;WW;8.84;83.33;133;184
EX777;Kujavy;2018;WW;9.93;73.56;133;185
EX778;Lednice;2006;WW;9.13;101.74;148;194
EX779;Lednice;2006;WW;11.02;100.5;144;193
EX780;Lednice;2006;WW;9.51;101.39;149;196
EX781;Lednice;2006;WW;9.96;105.21;149;197
EX782;Lednice;2006;WW;10.06;101.98;149;199
EX783;Lednice;2007;WW;;95.25;135;185
EX784;Lednice;2007;WW;;95.06;135;185
EX785;Lednice;2008;WW;;107.17;143;192
EX786;Lednice;2008;WW;;109.84;141;191
EX787;Lednice;2008;WW;;105.27;143;192
EX788;Lednice;2009;WW;8.47;87.15;131;190
EX789;Lednice;2009;WW;9.39;72.81;131;190
EX790;Lednice;2009;WW;8.52;88.96;136;192
EX791;Lednice;2009;WW;10.42;78.33;137;198
EX792;Lednice;2010;WW;6.15;92.03;143;196
EX793;Lednice;2010;WW;9.22;76.41;143;198
EX794;Lednice;2010;WW;6.8;93;149;201
EX795;Lednice;2010;WW;9.84;81.48;150;202
EX796;Lednice;2010;WW;6.38;95.32;148;200
EX797;Lednice;2010;WW;9.6;80.66;149;201
EX798;Lednice;2011;WW;8.3;94.57;143;194
EX799;Lednice;2011;WW;9.9;;144;194
EX800;Lednice;2012;WW;3.77;53.67;136;
EX801;Lednice;2012;WW;4.53;;136;
EX802;Lednice;2012;WW;3.49;54.33;136;206
EX803;Lednice;2012;WW;4.38;;136;207
EX804;Lednice;2012;WW;4.34;59.72;;203
EX805;Lednice;2012;WW;4.96;;;202
EX806;Lednice;2013;WW;8.61;100.1;138;198
EX807;Lednice;2013;WW;10.01;;139;199
EX808;Lednice;2013;WW;8.73;102.15;143;203
EX809;Lednice;2013;WW;10.92;;145;205
EX810;Lednice;2014;WW;7.49;112.28;128;190
EX811;Lednice;2014;WW;9.53;;129;192
EX812;Lednice;2014;WW;7.32;105.6;135;
EX813;Lednice;2014;WW;8.98;;136;
EX814;Lednice;2014;WW;8.14;106.23;135;
EX815;Lednice;2014;WW;9.28;;136;
EX816;Lednice;2015;WW;9.24;109.43;134;189
EX817;Lednice;2015;WW;11.09;;134;190
EX818;Lednice;2015;WW;10.03;105.92;139;195
EX819;Lednice;2015;WW;12.2;;140;196
EX820;Lednice;2016;WW;8.88;104.38;141;192
EX821;Lednice;2016;WW;12.4;104.51;140;193
EX822;Lednice;2016;WW;9.09;102.09;144;195
EX823;Lednice;2016;WW;12.14;99.79;145;197
EX824;Lednice;2016;WW;8.9;104.49;144;195
EX825;Lednice;2016;WW;12.65;97.15;145;197
EX826;Lednice;2016;WW;10.05;96.74;146;194
EX827;Lednice;2017;WW;4.74;84.3;138;185
EX828;Lednice;2017;WW;5.68;80.92;139;185
EX829;Lednice;2017;WW;4.92;81.36;143;186
EX830;Lednice;2017;WW;5.27;76.21;144;189
EX831;Lednice;2017;WW;5.48;76.15;143;189
EX832;Lednice;2018;WW;6.41;87.7;132;174
EX833;Lednice;2018;WW;7.35;89.11;129;170
EX834;Lednice;2018;WW;6.93;88.33;133;176
EX835;Lednice;2018;WW;6.52;89.88;133;173
EX836;Lednice;2019;WW;7.92;102.64;134;183
EX837;Lednice;2019;WW;;104.38;142;189
EX838;Lednice;2019;WW;9.23;100.06;135;
EX839;Lednice;2019;WW;;101.47;141;187
EX840;Lednice;2019;WW;;102.57;143;191
EX841;Lednice;2019;WW;;100.32;141;189
EX842;Lednice;2020;WW;10.51;94.69;137;196
EX843;Lednice;2020;WW;11.13;96.54;140;199
EX844;Lednice;2020;WW;11.19;96.39;137;198
EX845;Lednice;2020;WW;11.71;97.94;140;201
EX846;Lednice;2021;WW;10.85;95.07;141;192
EX847;Lednice;2021;WW;10.87;93.5;148;196
EX848;Lednice;2022;WW;6.86;79.92;138;183
EX849;Lednice;2022;WW;6.93;77.59;139;184
EX850;Lednice;2022;WW;8.06;77.3;135;181
EX851;Lednice;2022;WW;7.23;73.77;140;185
EX852;Lednice;2022;WW;7.61;75.63;139;184
EX853;Lednice;2023;WW;8.05;106.33;143;192
EX854;Lednice;2023;WW;10.25;103.18;143;194
EX855;Lednice;2024;WW;7.42;96.98;124;178
EX856;Lednice;2024;WW;6.56;104.8;132;182
EX857;Lednice;2024;WW;9.53;;130;183
EX858;Libejovice;2007;WW;7.24;92.37;138;196
EX859;Libejovice;2007;WW;7.86;92.22;139;196
EX860;Libejovice;2008;WW;7.59;102.79;152;207
EX861;Libejovice;2008;WW;9.65;94.57;152;209
EX862;Libejovice;2009;WW;6.54;95.38;146;213
EX863;Libejovice;2009;WW;8.71;98.04;146;217
EX864;Libejovice;2010;WW;6.71;101.54;156;216
EX865;Libejovice;2010;WW;9.34;88.37;157;218
EX866;Libejovice;2011;WW;10.19;90.83;147;217
EX867;Libejovice;2011;WW;11.23;;148;219
EX868;Libejovice;2016;WW;;;159;208
EX869;Libejovice;2016;WW;;;160;208
EX870;Lipa;2007;WW;7.1;80.61;138;192
EX871;Lipa;2007;WW;7.61;68.74;140;193
EX872;Lipa;2007;WW;6.99;82.63;142;194
EX873;Lipa;2007;WW;7.28;74.29;143;195
EX874;Lipa;2007;WW;6.97;88.98;142;195
EX875;Lipa;2007;WW;7.84;80.72;142;196
EX876;Lipa;2008;WW;9.8;85.44;152;212
EX877;Lipa;2008;WW;7.98;98.88;148;205
EX878;Lipa;2008;WW;8.29;83.12;148;207
EX879;Lipa;2008;WW;7.91;98.93;152;209
EX880;Lipa;2009;WW;6.3;87.86;145;209
EX881;Lipa;2009;WW;8.16;83.76;145;213
EX882;Lipa;2009;WW;6.6;86.41;141;207
EX883;Lipa;2009;WW;7.97;78.85;140;209
EX884;Lipa;2010;WW;7.07;87.85;156;209
EX885;Lipa;2010;WW;8.77;81.88;157;211
EX886;Lipa;2010;WW;7.49;93.22;159;210
EX887;Lipa;2010;WW;9.41;86.15;160;212
EX888;Lipa;2012;WW;;79.57;149;209
EX889;Lipa;2012;WW;;;150;209
EX890;Lipa;2012;WW;;76.87;;
EX891;Lipa;2012;WW;;83.61;;
EX892;Lipa;2012;WW;10.56;;;
EX893;Lipa;2013;WW;7.03;96.41;154;210
EX894;Lipa;2013;WW;8.42;;155;211
EX895;Lipa;2013;WW;7.93;93.62;160;211
EX896;Lipa;2013;WW;9.71;;161;214
EX897;Lipa;2013;WW;7.51;91.96;160;
EX898;Lipa;2013;WW;9.21;;160;
EX899;Lipa;2014;WW;8.01;102.39;144;
EX900;Lipa;2014;WW;10.14;;145;
EX901;Lipa;2014;WW;8.29;96.48;;
EX902;Lipa;2014;WW;10.7;;;
EX903;Lipa;2015;WW;7.55;104.71;149;211
EX904;Lipa;2015;WW;10.27;;150;211
EX905;Lipa;2015;WW;8.09;97.65;;211
EX906;Lipa;2015;WW;10.84;;;213
EX907;Lipa;2016;WW;9.29;88.3;163;220
EX908;Lipa;2016;WW;9.2;87.12;163;221
EX909;Lipa;2016;WW;8.71;82.24;150;213
EX910;Lipa;2016;WW;8.32;90.73;147;212
EX911;Lipa;2016;WW;10.53;77.82;151;215
EX912;Lipa;2016;WW;9.84;80.16;148;214
EX913;Lipa;2016;WW;9.45;93.1;151;213
EX914;Lipa;2016;WW;11.84;85.39;151;215
EX915;Lipa;2017;WW;8.72;92.53;152;210
EX916;Lipa;2017;WW;10.64;82.94;153;210
EX917;Lipa;2017;WW;9.15;93.2;151;209
EX918;Lipa;2017;WW;10.59;84.92;152;210
EX919;Lipa;2018;WW;9.12;90.57;136;194
EX920;Lipa;2018;WW;9.88;84.19;136;194
EX921;Lipa;2018;WW;;79.98;140;199
EX922;Lipa;2018;WW;;78.44;140;199
EX923;Lipa;2018;WW;9.18;90.56;141;200
EX924;Lipa;2018;WW;9.89;80.32;141;198
EX925;Lipa;2019;WW;9.2;108.94;150;199
EX926;Lipa;2019;WW;10.34;106.88;151;200
EX927;Lipa;2019;WW;9.93;104.75;154;201
EX928;Lipa;2019;WW;10.47;102.9;155;202
EX929;Lipa;2019;WW;10.06;100.62;154;202
EX930;Lipa;2019;WW;11.34;97.59;154;202
EX931;Lipa;2020;WW;5.43;105.97;149;217
EX932;Lipa;2020;WW;6.2;103.93;146;218
EX933;Lipa;2020;WW;5.51;106.62;151;217
EX934;Lipa;2020;WW;6.76;103.45;152;
EX935;Lipa;2020;WW;6.95;103.69;152;219
EX936;Lipa;2021;WW;10.2;83.7;;221
EX937;Lipa;2021;WW;10.05;78.88;;222
EX938;Lipa;2021;WW;10.47;93;155;207
EX939;Lipa;2022;WW;9.48;88.62;;203
EX940;Lipa;2022;WW;6.56;85.03;144;200
EX941;Lipa;2022;WW;7.45;77.68;143;201
EX942;Lipa;2022;WW;7.04;88.4;;201
EX943;Lipa;2022;WW;7.19;80.07;146;201
EX944;Lipa;2023;WW;8.25;100.44;152;213
EX945;Lipa;2023;WW;8.85;98.41;155;215
EX946;Lipa;2023;WW;9.6;97.13;153;213
EX947;Lipa;2023;WW;9.25;95.05;156;216
EX948;Lipa;2024;WW;7.14;91.5;134;195
EX949;Lipa;2024;WW;8.36;99.5;141;197
EX950;Lipa;2024;WW;7.57;95.55;140;199
EX951;Lipa;2024;WW;9.52;90.77;139;197
EX952;Lipa;2024;WW;9.2;92.35;141;200
EX953;Nechanice;2009;WW;;89.47;140;207
EX954;Nechanice;2010;WW;9.28;77.67;141;201
EX955;Nechanice;2010;WW;8.99;80.95;154;204
EX956;Nechanice;2011;WW;9.54;84.89;150;221
EX957;Nechanice;2011;WW;10.27;;149;222
EX958;Nechanice;2012;WW;4.99;77.72;;
EX959;Nechanice;2012;WW;4.19;;;
EX960;Nechanice;2013;WW;8;98.15;161;223
EX961;Nechanice;2013;WW;9.14;;;224
EX962;Nechanice;2014;WW;7.91;99.12;142;
EX963;Nechanice;2014;WW;8.31;;;
EX964;Nechanice;2015;WW;8.6;96.88;144;200
EX965;Nechanice;2015;WW;12.15;;145;201
EX966;Nechanice;2016;WW;;95.39;149;200
EX967;Nechanice;2016;WW;;83.64;149;200
EX968;Nechanice;2017;WW;7.58;88.06;148;199
EX969;Nechanice;2017;WW;9.63;78.7;149;199
EX970;Nechanice;2018;WW;5.34;74.56;133;184
EX971;Nechanice;2018;WW;6.67;72.11;133;185
EX972;Puste_Jakartice;2006;WW;9.14;87.22;152;209
EX973;Puste_Jakartice;2006;WW;8;100.12;157;208
EX974;Puste_Jakartice;2006;WW;9.59;88.4;158;212
EX975;Puste_Jakartice;2006;WW;8.19;101.28;157;209
EX976;Puste_Jakartice;2006;WW;9.67;91.48;158;212
EX977;Puste_Jakartice;2006;WW;7.69;98.33;152;206
